texts,dates,titles
"
                    
                        £568 million for Agenda for Change (AfC) pay deal in 2023/24.
                    

Healthcare staff across Scot* have been offered the largest pay package in the history of the NHS, with a £568 million increase in investment.
160,000 NHS Agenda for Change staff – including nurses, midwives, paramedics, allied health professionals, porters and others – will be offered an average 6.5% increase in pay in 2023/24.
This pay offer includes the commitment to deliver the most progressive package of terms and conditions reform in decades. 
The offer also includes the commitment to modernising Agenda for Change, which was introduced nearly 20 years ago, to support workforce recruitment, sustainability and retention.
Health Secretary Humza Yousaf said: 
“We have engaged extensively with trade union representatives over recent weeks, leaving no stone unturned to reach an offer which responds to the key concerns of staff. Our healthcare staff have shown how dedicated and hardworking they are time and again and I cannot thank them enough for their commitment, particularly over the last few challenging years.
“Over the two years of this £1 billion of increased investment in NHS Agenda for Change, a newly qualified nurse would see their pay increase by 15.8%, and experienced nurses at the top of band 5 would see their pay improve by over £4,700.
“This ensures that Scot*’s NHS Agenda for Change staff are, by far and away, the best paid anywhere in the UK. In fact, for NHS England to catch-up with Scot* the UK Government would need to offer increases in 2023/24 of over 14% at the top of band 5, over 13% at the top of band 6, and over 12% at the top of band 7.
“We have taken difficult decisions to find this money within the health budget because we know that our staff are the very backbone of the NHS and we are committed to supporting them, particularly during a cost of living crisis. I am grateful for the continued efforts around the table and that the trade unions will now put this to their members.""
BACKGROUND
A total of £568 million has been committed for Agenda for Change pay in 2023/24. This equates to an average uplift of at least 6.5% for all staff at Band 8a and below.
All staff will also receive a one-off pro rata payment of between £387 and £939 depending on banding.
The offer also reaffirms previous commitments to work to reduce the working week, protect learning time and review band 5 job nursing profiles.
Examples of increases over the 2 years (2022/23 and 2023/24):
experienced porters (band 2) receive more than £3,750 extra (19.1%)
experienced healthcare support workers (band 4) receive more than £4,000 extra. experienced AHPs (band 5) receive more than £4,700 extra (14.4%)
experience paramedics (band 6) receive more than £5,360 extra (13.2%)
experienced advance nurse practitioners (band 7) receive more than £5,900 extra (12.4%)
The revised pay scales are set out below:

Band 

 

2021/22


2022/23 


2023/24 Offer 

 

2023/24 £ Uplift


2023/24 % Uplift


Consolidated increase over 2 years 

 

One-off Payment 


1


1


£19,487


£21,692


£23,240

 

£1,548


7.1%


£3,753


19.3%

 

£387 


2


1


£19,609


£21,814


£23,362

 

£1,548


7.1%


£3,753


19.1%

 

£387 

 

2


£21,615


£23,820


£25,368

 

£1,548


6.5%


£3,753


17.4%

 

£387 


3


1


£21,709


£23,914


£25,468

 

£1,554


6.5%


£3,759


17.3%

 

£389 

 

2


£23,603


£25,808


£27,486

 

£1,678


6.5%


£3,883


16.5%

 

£420 


4


1


£23,709


£25,914


£27,598

 

£1,684


6.5%


£3,889


16.4%

 

£421 

 

2


£25,982


£28,187


£30,019

 

£1,832


6.5%


£4,037


15.5%

 

£458 


5


1


£26,104


£28,384


£30,229

 

£1,845


6.5%


£4,125


15.8%

 

£461 

 

2


£28,049


£30,329


£32,300

 

£1,971


6.5%


£4,251


15.2%

 

£493 

 

3


£32,915


£35,365


£37,664

 

£2,299


6.5%


£4,749


14.4%

 

£575 


6


1


£33,072


£35,522


£37,831

 

£2,309


6.5%


£4,759


14.4%

 

£577 

 

2


£34,637


£37,087


£39,498

 

£2,411


6.5%


£4,861


14.0%

 

£603 

 

3


£40,739


£43,286


£46,100

 

£2,814


6.5%


£5,361


13.2%

 

£703 


7


1


£40,872


£43,422


£46,244

 

£2,822


6.5%


£5,372


13.1%

 

£706 

 

2


£42,530


£45,080


£48,010

 

£2,930


6.5%


£5,480


12.9%

 

£733 

 

3


£47,846


£50,506


£53,789

 

£3,283


6.5%


£5,943


12.4%

 

£821 


8a


1


£50,965


£53,513


£56,992

 

£3,479


6.5%


£6,027


11.8%

 

£870 

 

2


£55,016


£57,767


£61,522

 

£3,755


6.5%


£6,506


11.8%

 

£939 


8b


1


£61,325


£63,530


£67,285

 

£3,755


5.9%


£5,960


9.7%

 

£939 

 

2


£66,018


£68,223


£71,978

 

£3,755


5.5%


£5,960


9.0%

 

£939 


8c


1


£73,506


£75,711


£79,466

 

£3,755


5.0%


£5,960


8.1%

 

£939 

 

2


£79,221


£81,426


£85,181

 

£3,755


4.6%


£5,960


7.5%

 

£939 


8d


1


£88,385


£90,590


£94,345

 

£3,755


4.1%


£5,960


6.7%

 

£939 

 

2


£92,424


£94,629


£98,384

 

£3,755


4.0%


£5,960


6.4%

 

£939 


9


1


£105,635


£107,840


£111,595

 

£3,755


3.5%


£5,960


5.6%

 

£939 

 

2


£110,468


£112,673


£116,428

 

£3,755


3.3%


£5,960


5.4%

 

£939 

",17/02/2023,Record Pay offer to NHS AfC staff
"
                    
                        £27 million to tackle disadvantage.
                    

Community projects tackling poverty and disadvantage will receive £27 million funding over the next three years.
Food pantries which help lower food bills and cost of living advice services are among the 100 initiatives developed by local people set to receive grants from the Investing in Communities Fund.
Each supported project is delivering multiple activities, including:
debt and benefit advice to avoid electricity and gas disconnection or eviction for rent arrears in South East Glasgow
a furniture reuse scheme in Inverness and a swap and repair shop in West Lothian
community food growing in South West Glasgow
school uniform exchanges and supporting parents into employment in South Lanarkshire
help for mothers establishing micro businesses in South West Edinburgh
training for jobseekers and counselling to address mental health and substance abuse issues in the Borders
Community Wealth Minister Tom Arthur said:
“This fund will help directly address issues facing disadvantaged communities, such as unemployment and food insecurity.
“We have been clear that the Scot*Budget is prioritising our limited resources to tackle child poverty, invest in our transition to net zero, and protect public services. And the projects supported through Investing in Communities speak to these priorities.
“Many will help ease immediate challenges from the cost of living crisis but also support communities in delivering longer term plans to address poverty.”
Background
Investing in Communities
The full list of projects recommended for support is attached.
The Investing in Communities Fund recognises increased pressure on community organisations from the combined effects of Coronavirus (COVID-19) and the cost of living crisis. It will be supported in the Scot*Budget 2023-24 and prioritised for funding during subsequent years.            ",16/02/2023,Investing in Communities
"
                    
                        Natural Beauty, Tourism and Governance score highly in new survey.
                    

Scot* has achieved its highest ever reported score in an international survey which asks 60,000 adults from 20 countries what their perceptions are of 60 nations.
The Nation Brands Index (NBI) 2022 survey scores and ranks countries across six dimensions including Culture, Tourism, Governance, Immigration and Investment, Exports, and People.
Scot*’s overall score has jumped to 65.3 out of 100, compared to 62.6 out of 100 in 2020, which is the highest score the Scottish-Government has reported since first subscribing to the survey in 2008.
Scot*’s natural beauty was ranked 7th out of 60, while Tourism ranked 12th out of 60. Tourism also scored the highest, jumping from 68.7 out of 100 in 2020 to 72.3 in 2022.  Compared to participating countries, Scot* ranked highly in key areas including ranking 9th for welcoming people, 10th for international peace and security and historic buildings and monuments.
The scoring and ranking of overall Governance has also improved, increasing from 62.9 in 2020 to 64.9 in 2022 and from 13th to 11th place.
Culture Secretary Angus Robertson said:
“Scot* is blessed with natural beauty, vibrant cities, rich historical sites, white sand beaches and rolling hills, and it is great to see everything we have to offer being recognised by citizens from across the world. It is also encouraging to see that governance in Scot* has also scored well internationally which might be due to international interest in forward thinking and outward looking Scottish-Government policies such as the baby box, free period products and our ambitious work to help tackle climate change
“Despite Scot*’s score improving to its highest since we first subscribed to the survey, we will continue to look at ways we can make things better for the people who live here. It’s been challenging in recent years with the impacts still being suffered from Brexit, the ongoing pandemic and the current cost of living crisis. The survey shows some areas that we can work on and the Scottish-Government will leave no stone unturned in doing so.”
Background
The survey was conducted by Anholt-Ipsos polling between 5 July and 11 August 2022.
Twenty panel countries were selected for the survey of the 2022 Nation Brands Index study, representing major developed and developing countries that play important and diverse roles in international relations, trade and the flow of business, and cultural and tourism activities.
Anholt-Ipsos Nation Brands Index survey            ",10/02/2023,Scotland’s international reputation grows
"
                    
                        Funding will help tackle social impact of rising cost of living.
                    

Projects supporting people most at risk of social isolation and loneliness will receive a share of almost £1 million support funding announced today.
The money will help to provide warm spaces, hot meals, group activities and fuel payments to people most at risk of isolation including older people, young parents, carers and disabled people.
Organisations to receive grants/funds include Age Scot*, who will continue to deliver their ‘Keeping The Doors Open’ grants programme, and Chest, Heart and Stroke Scot* who are recruiting Urdu and Punjabi-speaking volunteers to make Kindness Calls.
Equalities and Older People’s Minister Christina McKelvie said:
“Social isolation and loneliness can affect anyone, especially at this time of year when people can struggle to get outside and socialise. The pandemic and the cost of living crisis have increased isolation for some people, including young people, carers and disabled people.
“The funding will be a lifeline for a range of organisations who are helping to keep people connected during this challenging time.
“This fund is just one of the many crucial steps that we are taking to tackle social isolation and loneliness as part of our plan, A Connected Scot*.”
Chest, Heart & Stroke Scot*’s Chief Executive Jane-Claire Judson said:
“We know that living with a disability or long-term condition can be hugely isolating and that for those who are unable to read or communicate fluently in English, this isolation can be even more significant.
“This funding from the Scottish-Government will greatly enhance the ability of our support services to reach non-English speaking and minority ethnic populations in Scot* to reduce isolation and loneliness.
“Ultimately, it will allow us to engage with and support more people across Scot* who are living with chest, heart and stroke conditions, better enabling them to live their lives to the full.”
Chief Executive of Age Scot* Mark O’Donnell said
“Older people’s groups have an incredibly important role in communities across Scot*, supporting health and wellbeing, physical activity, tackling loneliness and food insecurity. Our research has identified that around 200,000 over-65s rely on groups like this but the impact of Covid-19 and spiralling inflation has meant that these lifelines have been facing incredible pressures to keeping their doors open. We’re incredibly grateful that the Scottish-Government took notice of our research and our ask of greater financial support for older people’s groups.
“The funding will help many such groups and clubs meet the rising cost of energy bills, food, transport and venues to meet, ensuring that their members can stay connected and are able to be as well as they can be.”
Background
18 projects and organisations will receive a share of £971,019. They are:
Age Scot*
Befriending Networks
British Red Cross
Chest, Heart and Stroke Scot*
Glasgow Disability Allowance
Home-Start Scot*
Youthlink Scot*
Cosgrove Care and Jewish Care Scot*
Faith in Community Dundee
Glasgow Central Mosque Foodbank
Safe Families
Bethany Christian Trust
Christians Against Poverty
Scot*Ahlul Bayt Society
Sikhs in Scot*
Church of Scot*
Edinburgh City Mission
Glasgow City Mission
A Connected Scot*: our strategy for tackling social isolation and loneliness and building stronger social connections            ",03/02/2023,Tackling social isolation and loneliness
"
                    
                        Non-Domestic Rates legislation.
                    

New draft legislation on non-domestic rates (NDR) aims to tackle tax avoidance and promote the Scottish-Government’s ground-breaking Deposit Return Scheme.
Regulations laid before the Scot*Parliament will empower councils to crack down on tax-avoidance such as the artificial use of insolvency, leasing arrangements or shell companies.
They would also make owners of non-domestic properties liable for payment, rather than the property’s occupiers, and allow for liability for payment to be backdated if an offence is repeated within a five-year period.
In a separate move, parts of properties solely used to house reverse vending machines, which refund users for recycling drinks containers, would be exempt from NDR. This will support businesses to get ready for Scot*’s Deposit Return scheme.
Further amendments to NDR, announced in the Scot*Budget 2023-24, will be published shortly as part of a package of regulations to provide more help for businesses through the current cost of living crisis.
Public Finance Minister Tom Arthur said:
“The Scottish-Government is committed to a fair and transparent system of non-domestic rates which supports businesses and communities.
“It is important that everyone pays their share and these regulations will help tackle those who seek to find loopholes to avoid payment.
“We want to ensure that parts of properties used for reverse vending machines are not liable to pay rates. This will incentivise and promote Scot*’s Deposit Return Scheme which will launch on 16 August this year.
“Subject to the regulations passing in the Scot*Parliament, we will work to ensure Scot*’s non-domestic rates system remains progressive and in line with our net zero ambitions.”
Background
The Non-Domestic Rates (Miscellaneous Anti-Avoidance Measures) (Scot*) Regulations 2023 will deliver on a commitment in the Bute House Agreement to help local authorities tackle tax avoidance tactics, including when they make decisions on applying empty property relief and charity relief.
The Non-Domestic Rating (Valuation of Sites of Reverse Vending Machines) (Scot*) Regulations 2023 will ensure the part of a non-domestic property used solely in the provision or use of a reverse vending machine, is not liable for rates.
The Scot*Budget 2023-24 announced the lowest poundage in the UK for the fifth year in a row and a package of reliefs worth an estimated £744 million.
Draft regulations are laid in order to be considered by Parliament before they are signed into law. These new regulations should come into force in Scot* on 1 April 2023.
Scot*’s Deposit Return Scheme, the first of its kind in the UK, will launch on 16 August 2023. It will be a major part of the Scottish-Government’s efforts to reduce littering and cut emissions by creating return points for recycling drinks containers. More information on operating a return point or applying for an exemption is available at circularityScot*.com            ",02/02/2023,Tax support for businesses
"
                    
                        Survey launched to understand international interests and aspirations.
                    

A public survey to help develop an International Culture Strategy for Scot* has been launched by the Culture Secretary.
The survey seeks views from cultural organisations, companies from across the creative industries and individuals who work internationally or have aspirations to do so. The strategy aims to develop an approach to international engagement that supports sectoral resilience, recovery and long term development.
The strategy will seek to draw on the knowledge, expertise and lived experience of cultural organisations and practitioners to understand the importance of international activity to their work and to the wider sector in Scot*.
The survey will be open for responses for three months and will form the basis of a report that will be published after a period of analysis.
Culture Secretary Angus Robertson said:
“Working in partnership with the sector, the Scottish-Government is developing an International Culture Strategy that supports the international aspirations and potential of Scot*’s culture sector, building on its strong existing international footprint.
“The strategy will be set in the context of the challenges facing the sector following the impact of Brexit, the Covid pandemic and the cost of living crisis and ensure it helps address these challenges. That is why this survey is so important as once we begin to see themes emerging, we can engage further with the sector to explore these themes in more detail.
“Scot*’s cultural activity has a strong international reputation, which is important to our wider international presence. I hope as many people and organisations as possible engage with this survey to allow us to create a strategy that best supports the sector’s international activity and ambitions.”
Background
A Parliamentary question and answer to provide an update on the International Culture Strategy has been published online.
International Culture Strategy: Survey            ",02/02/2023,Developing Scotland’s international cultural presence
"
                    
                        Scot*Budget 2023-24 reaches Stage One vote.
                    

Deputy First Minister John Swinney is urging MSPs to back the Scottish-Government’s Budget for 2023-24, as it “delivers for the people of Scot*”.
Speaking ahead of today’s Stage One Budget Bill debate, Mr Swinney said that in a difficult financial environment the Budget focused resources on the three key priorities of delivering sustainable public services, transforming the economy to deliver a just transition to net zero and taking direct action to eradicate child poverty.
It includes more than £13 billion for health and social care and £1 billion for early learning and childcare provision.
It also supports those hardest hit by the cost of living crisis, with £442 million invested in the unique Scot*Child Payment and £20 million for the Fuel Insecurity Fund to help households at risk of self-disconnection or self-rationing their energy use.
Mr Swinney said:
“These are fair and ambitious spending plans for the coming year which have been developed during one of the most challenging financial environments since devolution.
“To govern is to choose and we have chosen a different, distinctive path that commits substantial resources to protect the most vulnerable from the impact of decisions made by the UK Government.
“We are asking people to contribute to a fairer society that provides benefits such as free prescriptions, free access to higher education and concessionary travel not available in other parts of the UK.
“The progressive choices we propose on Scot*income tax also mean that next year the Scottish-Government can direct additional investment towards our NHS. That investment will help drive forward our recovery plan, improve primary health care services and help reduce the harms associated with drugs and alcohol.
“At the same time, the majority of people in Scot* will still be paying less in Income Tax than if they lived in the rest of the UK. The Budget also delivers the number one ask of businesses by freezing the non-domestic rates poundage and providing a package of reliefs worth an estimated £744 million.
“Our spending plans will help ensure we can deliver a net zero future achieved through sustainable economic growth. We are investing £1.4 billion to maintain, improve and decarbonise Scot*’s rail network and almost £467 million on peatland restoration. And by doubling the budget for the next phase of the Just Transition Fund to £50 million, we are helping regional economies in the North East and Moray move away from the industries contributing to the climate emergency and diversify into others.
“This is a meaningful and progressive Budget that delivers for the people of Scot*. I urge all MSPs to unite behind it.”
Background
2023-24 Scot*Budget
The Scot*Budget 2023-24 is the Scottish-Government’s second in partnership with the Scot*Green Party.            ",02/02/2023,MSPs urged to support spending plans
"
                    
                        550 disabled people supported to access Scot*social security benefits.
                    

A free independent advocacy service to support disabled people to access Scottish-Government benefits has marked its first year in operation.
The Scottish-Government is investing more than £20 million to deliver this service over the course of four years. This independent service is available to people with a disability who may need extra support. This could include people with a sensory disability, mental health condition or learning disability. The service is also available to parents or carers who need support to access benefits for a child.
The service, which was introduced in January 2022, enables disabled people to be more involved in the processes and decisions which affect them and advocates will provide the most appropriate form of support to each individual based on their circumstances.
Minister for Social Security Ben Macpherson said:
“I am delighted that, in its first year, the Independent Advocacy Service has supported over 550 people applying for Scottish-Government social security benefits.
“The service is a key part of our human rights approach to social security and how the values of dignity, fairness and respect in our social security system work in practice.
“The service helping disabled people to access the financial support they are entitled to, and is delivering on our commitment to make our system as inclusive as possible.
“With the Scottish-Government’s commitment to invest more than £20 million in it, the advocacy service will be able to assist even more disabled people access the help they are entitled to over the coming years.”
CEO of VoiceAbility, Jonathan Senker said:
“Over our first year of delivering the Independent Advocacy Service, people tell me that it enabled them to apply for social security benefits when before they felt daunted by the process. They say that advocates supported them to express themselves openly, when previously they felt obliged to ‘put on a brave face’ or underplay their needs.
“It’s vital that people can access the benefits to which they are entitled. I am proud of VoiceAbility’s skilled team of advocates, who are ready and available to support disabled people across Scot*. I encourage anyone who thinks an advocate could help them to access benefits to contact us. We’re here on the phone, online and in-person to make sure you’re heard when it matters.”
Background
The service was introduced in January 2022, ahead of a pilot for Adult Disability Payment – which replaces Personal Independence Payment (PIP) in Scot*. Adult Disability Payment was introduced across Scot* in August 2022.
The service is independent of the Scottish-Government and is delivered by VoiceAbility, a charity with 40 years’ experience of delivering independent advocacy services.
The service provides free advocacy to anyone who self-identifies as disabled who requires support to engage effectively with Social Security Scot*.
Advocacy is available throughout the whole of the process for seeking support; from the point of application, through to any request for redetermination and appeals.
People can access this support by contacting VoiceAbility directly for free on 0300 303 1660 or by visiting voiceability.org
People can also access this support by calling Social Security Scot* for free on 0800 182 2222 and asking to be referred to the Independent Advocacy Service.            ",26/01/2023,Independent Advocacy Service celebrates one year anniversary
"
                    
                        Campaign aims to help fill vacant posts.
                    

A marketing campaign to support the recruitment of more adult social care workers has launched this week, to help address the high level of vacancies in the sector.
The campaign – titled ‘there is more to care than caring’ - will raise awareness of the career opportunities available in adult social care and encourage people to apply. Activity includes radio, outdoor and digital advertising, highlighting the important work done by adult social care workers.
It is part of the Scottish-Government’s commitment to attract more people to work in adult social care, retain existing staff and raise its status as a profession. This builds on a pay uplift for all adult social care staff which guarantees them a minimum of at least £10.90 an hour from this April.
Today, Social Care Minister Kevin Stewart visited Leuchie House, in North Berwick to see the work it does to support people affected by stroke, multiple sclerosis and neurological conditions.
Mr Stewart said:
“Working in adult social care can be challenging but offers the opportunity to have a hugely positive impact on people’s lives on a daily basis.
“We are increasing pay, improving terms and conditions in the sector, and developing clear career pathways for the workforce, ahead of the introduction of the National Care Service. This will lead to more rewarding roles for the existing adult social care workforce, and for new entrants to the profession.
“This campaign highlights that while relevant experience can help, it is core interpersonal skills such as communication, compassion, empathy and respect that are most highly valued. If these are skills you possess then adult social care could be the career for you.”
Background
Leuchie House, is a respite centre in North Berwick. Leuchie House which supports people with Multiple Sclerosis, who have had a stroke, or who are living with different neurological conditions, by providing essential short breaks for them. The centre also provides breaks for their guests’ carers or family members, either by taking on their caring responsibilities while they are at Leuchie House, or enabling them to have a break separately while their loved one is staying there.
The total cost of the campaign is £500,000 which includes media, production, PR and partnerships.
There's more to care than caring - Adult Social Care (caretocare.scot)            ",25/01/2023,Boosting the social care workforce
"
                    
                        Minister urges people to check eligibility for support.
                    

People struggling to pay their council tax during the cost of living crisis are being encouraged to check if they are eligible for money off their bill.
The Council Tax Reduction (CTR) scheme is unique to Scot* and helps people on low incomes save an average of £750 a year on their council tax bill. Those eligible can also save up to 35% on their water and waste charges.
The latest figures published by the Scottish-Government show 455,220 recipients received CTR in November 2022, meaning around one-in-five households were benefitting from the scheme.
Public Finance Minister Tom Arthur visited Citizens Advice and Rights Fife today (Wednesday 25 January) to meet staff advising people on dealing with the cost of living crisis. He said:
“We know that this cost of living crisis is hammering people on lower incomes and those already living in poverty. It is vital that people know where to go to get advice and support.
“The Council Tax Reduction scheme will celebrate its tenth anniversary in April and Scot*households have saved more than £3 billion on their council tax since it was introduced. The support it provides has never been more important and I urge people to check whether they are eligible.
“Information can be obtained from your local Citizens Advice Bureau – like the excellent facility I visited in Glenrothes today – local councils and the Money Talk Team service promoted by the Scottish-Government, as well as online.”
Chief Executive Officer of Citizens Advice and Rights Fife, David Redpath, said:
“We are experiencing unprecedented demand for advice on how to maximise incomes to the cost of living crisis.
“Council Tax Reduction plays a key role in making budgets stretch further and we encourage people to check if they are eligible for a reduction, discount or even an exemption from paying council tax.
“Citizens Advice and Rights Fife is here to help people find ways to ease the cost of living whether that is council tax or any other daily living costs.”
Background:
The Council Tax Reduction scheme assesses a household’s income, capital and circumstances so is open to all, including people not in receipt of benefits.
People can check whether they are eligible for CTR through mygov.scot or by contacting their local council. Details of other help available including extra financial support or help with things like food, heating and electricity can be found on the Scottish-Government’s cost of living crisis support website.
Council Tax Reduction: April 2013 to November 2022 statistics were published on 24 January 2023.            ",25/01/2023,Help with council tax bills
"
                    
                        Minister confirms intention to cap rents at 3%.
                    

Emergency measures to protect tenants will be extended, Tenants Rights’ Minister Patrick Harvie has confirmed, with private rents capped and enforcement of evictions prevented in most cases. 
Subject to the approval of Parliament, changes to the Cost of Living (Tenant Protection) Act will mean that from 1 April 2023: 
If landlords choose to increase private rents they will be capped at 3%
The safeguard for private landlords will be amended, allowing them to apply for increases of up to 6% to help cover certain increases in costs in defined and limited circumstances
Enforcement of evictions will continue to be prevented for all tenants except in a number of specified circumstances
Increased damages for unlawful evictions of up to 36 months’ worth of rent will continue to be applicable
The rent cap for student accommodation will be suspended, recognising its limited impact on annual rents set on the basis of an academic year
These temporary measures are intended to be extended to 30 September, provided they remain necessary, with the option to extend for another six-month period if required. 
As announced in December 2022, the social sector rent freeze is being replaced with agreements from landlords to keep any rent increase for 2023-24 well below inflation. 
Mr Harvie said: 
“Our emergency legislation has helped protect tenants facing the cost of living crisis. With many households still struggling with bills, it is clear that these protections are still needed to give tenants greater confidence about their housing costs and the security of a stable home. 
“While the primary purpose of the legislation is to support tenants, I recognise that costs have been rising for landlords too. That’s why we intend to allow those in the private sector to increase rents by up to 3%, with a continued safeguard allowing them to apply for larger increases to cover specified rising costs they might be seeing as landlords. By allowing increases in rent – capped well below inflation and limited to once per 12 months – we can continue protecting tenants from the minority of landlords who would impose unaffordable rent hikes. 
“We will continue to carefully monitor the impacts of this legislation, working with tenants and landlords to protect them from this costs crisis.” 
Background 
Further information on the Cost of Living (Tenant Protection) Act is available on the Scottish-Government website.
The evictions moratorium prevents enforcement of eviction actions resulting from the cost of living crisis except in a number of specified circumstances. 
Landlords can apply to Rent Service Scot* (RSS) to increase rent to partially cover specific costs including increased mortgage interest payments on the property they are letting, an increase in landlords’ insurance or increases in service charges paid as part of a tenancy, subject to an overall limit. This limit is currently set at 3% of total rent. From 1 April it will be increased to 6%. In effect this retains the status quo of allowable rent rises of 3% above the cap. As set out in the first report on the Act to the Scot*Parliament, as at 31 December 2022 RSS had received only 12 applications of this nature, of which 10 were valid. 
Under the agreement on social rents for 2023-24, COSLA has committed to keeping local authority rent increases to an average of no more than £5 a week. Members of the Scot*Federation of Housing Associations and Glasgow West of Scot* Forum of Housing Associations have reported planned increases averaging 6.1%.            ",19/01/2023,Protections for tenants extended
"
                    
                        Pragmatic approach to support hosts during cost of living crisis.
                    

Recognising the pressures short-term lets hosts face at this time, legislation has been laid to extend the deadline for applying for a licence by six months to 1 October 2023.
The new deadline applies to anyone operating as a host before 1 October 2022. Anyone who started operating after that must have applied for and obtained a licence before accepting guests and bookings.
Housing Secretary Shona Robison said:
“We are taking a pragmatic approach to help support hosts in recognition of the wider cost of living crisis that is placing pressure on businesses. This one-off six-month extension will give businesses more time to spread the cost of the licence fee, and meet the scheme requirements.
“The principal component of our licencing scheme is a mandatory set of safety standards which many hosts will already be meeting as a matter of best practice or compliance with existing law. Our scheme gives local authorities the powers to strike a balance between the economic and tourism benefits of short-term lets and community concerns.
“Many hosts have already applied for a licence. I encourage those that have yet to do so to apply for a licence well in advance of the extended deadline.”
Background
New hosts must now apply for, and obtain, a licence before accepting bookings or receiving guests. Anyone who operating as a host before 1 October 2022 can operate as normal while their application is being determined.
In December 2022 the Housing Secretary issued a letter to the Housing and Planning Committee confirming the intentions to amend the deadline of the scheme in the new year.
The Scottish-Government will undertake a review of levels of short-term let activity in early 2024.            ",18/01/2023,More time to apply for short-term lets licences
"
                    
                        Cash-first approach will help those facing hardship.
                    

Social Justice Secretary Shona Robison has announced an additional £2.4 million in funding to help people struggling to afford food and other essentials.
The funds will go to four organisations to distribute mainly on a ‘cash-first’ basis to people in immediate need in the face of the cost of living crisis.
A focus on crisis payments and shopping cards will allow people to choose for themselves what they need.
Ms Robison announced the funding on a visit to Prospect Community Housing in Wester Hailes, Edinburgh, where she heard how staff are helping residents through debt and income advice services.
She said:
“I know people are struggling with the cost of food and other essentials right now, and this additional funding will get more support to some of those who need it most this winter.
“We are working with partners to prioritise urgent cash-first action when it comes to food insecurity and this will take some of the pressure off food banks.
“This funding has the potential to directly reach 7,500 people, and many more will benefit than this, as the Corra Foundation and Fareshare will between them distribute it further to an estimated 900 organisations.
“We want people to make sure they are getting all the support they are entitled to, so I encourage anyone who is struggling financially to get advice on what support they may qualify for - through their local authority, a local advice service, or Social Security Scot* as well as checking out our cost of living website.”
Carolyn Sawers, Chief Executive at the Corra Foundation said:
“This £1 million contribution to the Household Hardship Fund from the Scottish-Government provides a dignified cash first approach for those most impacted by the cost of living.
“Organisations which have received money through the fund have told us it is making a significant difference helping families with the essentials of food, fuel, and household items.
“Corra is committed to working alongside others in tackling the long-term issues of poverty. The Household Hardship fund is an important step in responding to the crisis that people across Scot* face today.”
Sally Thomas, Chief Executive of the Scot*Federation of Housing Associations (SFHA), said:
“Housing associations and co-operatives are doing everything they can to help tenants keep their heads above water, heat their homes and put food on their table this winter. However  our members are increasingly reporting that tenants are facing impossible decisions on and between household bills and food as costs soar.
“It’s simply not right that anyone in Scot* should be going hungry this winter. As we continue to face this unprecedented crisis, this money will be critical to helping ensure social landlords can provide a response to food insecurity that is tailored to the needs of their tenants and communities, maintaining dignity and choice.”
Background 
Allocations from the £2.4 million:
£1,000,000 to the Scot*Federation of Housing Associations for cash-first responses to food insecurity via their members
£1,050,000 to Corra Foundation for their Household Hardship Fund, providing grants to organisations working to alleviate poverty with an emphasis on cash-first responses food insecurity
£100,000 to Citizens Advice Scot* to expand their shopping card pilot, offering an alternative to a food bank referral
£250,000 to FareShare for regional purchasing where needed to supplement the supply from surplus and donations
In 2022-23 the Scottish-Government has allocated around £3 billion in a range of measures which will help mitigate the impacts of the cost of living crisis on households, of which £1 billion is for support only available in Scot* and not elsewhere in the UK.
The Scottish-Government consulted on a draft plan on ending the need for food banks between October 2021 and January 2022, and the plan will be published in the coming months.
 The Scottish-Government’s Cost Of Living website provides information and support for people who need urgent help with money, food or fuel. Visit gov.scot/costoflivingsupport            ",12/01/2023,Winter funding for food groups
